Id,y,x,z,code,description
"1020",0,0,0,ARB_FIX,LOCAL_ORIGO
"994",34.2970593515784,7.26919301480848,20.7693004608154,VAG_VM,Offset startpoint
"995",42.5639797532931,7.07611450262993,20.4754962921143,VAG_VM,Value
"996",47.1083149919286,6.93090847049461,20.3252201080322,VAG_VM,Value
"997",53.4089860571548,6.76851683420136,20.1538543701172,VAG_VM,Value
"998",59.1898264903575,6.69537149953976,19.9920387268066,VAG_VM,Value
"999",66.0855717435479,6.59094907205053,19.7931938171387,VAG_VM,Value
"1000",73.4299278780818,6.48445765473116,19.568078994751,VAG_VM,Value
"1001",76.4091605106369,6.41513940214463,19.4714279174805,VAG_VM,DB 400
"1002",83.0216082883999,6.33013200498863,19.3155384063721,VAG_VM,Value
"1003",91.1720287101343,6.19219641633208,19.1330375671387,VAG_VM,Value
"1004",102.792726303451,5.98285080246114,18.9287605285644,VAG_VM,Value
"1005",118.853499261662,5.73458106502494,18.8551826477051,VAG_VM,Value
"1006",124.692633234896,5.6272352841288,18.8414554595947,VAG_VM,Value
"1007",128.219654213637,5.58355607990961,18.8330783843994,VAG_VM,Target Z
"1008",137.623765680008,5.42121350882189,18.8673839569092,VAG_VM,Value
"1009",146.506146151572,5.2877359489803,18.9437198638916,VAG_VM,Value
"1010",155.898112080991,5.12232489744656,19.032506942749,VAG_VM,Value
"1011",162.615790935233,4.97119888986253,19.1017436981201,VAG_VM,Value
"1012",169.687582251616,4.67719708332152,19.1948356628418,VAG_VM,Value
"1013",177.878549933434,4.25821469093535,19.303524017334,VAG_VM,Value
"1014",184.079437543638,3.81499523067032,19.3833255767822,VAG_VM,Value
"1015",191.334626797587,3.27553809829897,19.4782314300537,VAG_VM,Value
"1016",199.835413218476,2.50305878427298,19.5663604736328,VAG_VM,Value
"1017",206.779242178425,1.75736967375542,19.6445045471191,VAG_VM,Value
"1018",211.088123992085,1.26610770582647,19.6880626678467,VAG_VM,Value
"1019",129.826930349693,2.8175822093126,19.0549411773682,VAG_VM,Endpoint
